ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,60.4,2.5,122,57.9
CA-003,Alpine County,California,45.3,2.1,120,43.3
CA-005,Amador County,California,59.4,2.1,121,57.2
CA-007,Butte County,California,61.4,2.6,125,58.8
CA-009,Calaveras County,California,59.8,2.1,121,57.6
CA-011,Colusa County,California,62.7,2.4,121,60.4
CA-013,Contra Costa County,California,61.4,2.6,122,58.8
CA-015,Del Norte County,California,53,2.2,121,50.8
CA-017,El Dorado County,California,55.3,1.9,121,53.3
CA-019,Fresno County,California,57.1,2.7,120,54.4
CA-021,Glenn County,California,61.6,2.3,123,59.3
CA-023,Humboldt County,California,54.7,1.8,118,52.9
CA-025,Imperial County,California,74.9,2.8,118,72.2
CA-027,Inyo County,California,62,2.5,120,59.5
CA-029,Kern County,California,63,2.6,118,60.5
CA-031,Kings County,California,65,2.6,119,62.5
CA-033,Lake County,California,58.5,2.2,121,56.3
CA-035,Lassen County,California,47.9,1.9,118,46.1
CA-037,Los Angeles County,California,62.8,3,119,59.8
CA-039,Madera County,California,57.5,2.4,120,55.1
CA-041,Marin County,California,57,2.2,119,54.8
CA-043,Mariposa County,California,56.5,2,119,54.5
CA-045,Mendocino County,California,56.6,1.8,120,54.8
CA-047,Merced County,California,63.2,2.3,118,61
CA-049,Modoc County,California,48.1,2.7,121,45.5
CA-051,Mono County,California,45.5,2.2,119,43.2
CA-053,Monterey County,California,59.6,2.5,120,57.2
CA-055,Napa County,California,60.7,2.5,123,58.2
CA-057,Nevada County,California,53.6,1.8,121,51.7
CA-059,Orange County,California,65.2,2.9,120,62.3
CA-061,Placer County,California,54.9,1.9,121,53
CA-063,Plumas County,California,48.4,1.7,118,46.8
CA-065,Riverside County,California,69.6,2.9,119,66.7
CA-067,Sacramento County,California,63.4,2.3,121,61.1
CA-069,San Benito County,California,60,2.6,120,57.4
CA-071,San Bernardino County,California,67.6,2.6,119,65
CA-073,San Diego County,California,63.9,2.7,119,61.2
CA-075,San Francisco County,California,57.8,2.1,120,55.7
CA-077,San Joaquin County,California,63.6,2.9,123,60.7
CA-079,San Luis Obispo County,California,60.6,2.7,119,58
CA-081,San Mateo County,California,57.7,2.4,119,55.3
CA-083,Santa Barbara County,California,59.6,3,119,56.6
CA-085,Santa Clara County,California,59.4,2.6,119,56.8
CA-087,Santa Cruz County,California,58.4,2.8,120,55.6
CA-089,Shasta County,California,56.6,2.3,121,54.3
CA-091,Sierra County,California,48.3,2,119,46.4
CA-093,Siskiyou County,California,50.2,2.5,121,47.8
CA-095,Solano County,California,62.1,2.4,122,59.7
CA-097,Sonoma County,California,58.2,2.1,120,56.1
CA-099,Stanislaus County,California,62.7,2.4,119,60.3
CA-101,Sutter County,California,64.1,2.3,120,61.8
CA-103,Tehama County,California,60.2,2.3,123,57.9
CA-105,Trinity County,California,53.9,2.4,121,51.5
CA-107,Tulare County,California,55.5,2.3,118,53.2
CA-109,Tuolumne County,California,51.5,1.9,120,49.6
CA-111,Ventura County,California,59,3.1,119,55.9
CA-113,Yolo County,California,63,2.1,121,60.9
CA-115,Yuba County,California,62.1,2.3,122,59.8
