ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,60.4,2.5,125,57.9
CA-003,Alpine County,California,46.4,3.1,128,43.3
CA-005,Amador County,California,60,2.8,126,57.2
CA-007,Butte County,California,61.9,3.1,125,58.8
CA-009,Calaveras County,California,60.5,2.9,126,57.6
CA-011,Colusa County,California,63.2,2.8,126,60.4
CA-013,Contra Costa County,California,61.3,2.5,124,58.8
CA-015,Del Norte County,California,53.3,2.5,125,50.8
CA-017,El Dorado County,California,56.1,2.7,126,53.4
CA-019,Fresno County,California,57.7,3.3,128,54.4
CA-021,Glenn County,California,62.3,3,126,59.3
CA-023,Humboldt County,California,54.7,1.7,117,53
CA-025,Imperial County,California,75.7,3.5,126,72.2
CA-027,Inyo County,California,63,3.4,129,59.6
CA-029,Kern County,California,63.7,3.2,126,60.5
CA-031,Kings County,California,65.3,2.8,124,62.5
CA-033,Lake County,California,59.1,2.8,127,56.3
CA-035,Lassen County,California,49.1,2.9,127,46.1
CA-037,Los Angeles County,California,63.3,3.4,124,59.9
CA-039,Madera County,California,58,2.9,127,55.1
CA-041,Marin County,California,56.6,1.8,116,54.8
CA-043,Mariposa County,California,57.2,2.7,126,54.5
CA-045,Mendocino County,California,56.8,1.9,125,54.8
CA-047,Merced County,California,63.4,2.4,125,61
CA-049,Modoc County,California,49.3,3.7,128,45.6
CA-051,Mono County,California,46.4,3.1,128,43.3
CA-053,Monterey County,California,59.6,2.4,121,57.2
CA-055,Napa County,California,60.6,2.4,124,58.2
CA-057,Nevada County,California,54.4,2.6,126,51.7
CA-059,Orange County,California,64.8,2.4,118,62.4
CA-061,Placer County,California,55.8,2.7,126,53
CA-063,Plumas County,California,49.4,2.6,127,46.8
CA-065,Riverside County,California,70.1,3.3,124,66.8
CA-067,Sacramento County,California,63.4,2.3,123,61.1
CA-069,San Benito County,California,60.3,2.9,124,57.4
CA-071,San Bernardino County,California,68.5,3.4,128,65.1
CA-073,San Diego County,California,64.2,2.9,123,61.2
CA-075,San Francisco County,California,57.2,1.4,110,55.8
CA-077,San Joaquin County,California,63.7,2.9,126,60.7
CA-079,San Luis Obispo County,California,60.9,3,123,58
CA-081,San Mateo County,California,57.4,2,117,55.4
CA-083,Santa Barbara County,California,59.6,3,121,56.6
CA-085,Santa Clara County,California,59.4,2.5,121,56.9
CA-087,Santa Cruz County,California,58.1,2.5,120,55.7
CA-089,Shasta County,California,57.2,2.9,127,54.3
CA-091,Sierra County,California,49.2,2.8,126,46.4
CA-093,Siskiyou County,California,50.9,3.1,128,47.8
CA-095,Solano County,California,62,2.2,123,59.7
CA-097,Sonoma County,California,57.9,1.8,119,56.1
CA-099,Stanislaus County,California,63,2.6,125,60.4
CA-101,Sutter County,California,64.4,2.5,125,61.8
CA-103,Tehama County,California,60.5,2.6,126,57.9
CA-105,Trinity County,California,54.3,2.8,126,51.6
CA-107,Tulare County,California,56.3,3,128,53.2
CA-109,Tuolumne County,California,52.4,2.7,125,49.6
CA-111,Ventura County,California,59.2,3.2,122,56
CA-113,Yolo County,California,63.3,2.4,126,60.9
CA-115,Yuba County,California,62.6,2.8,126,59.8
