Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (in),qc,Total Precip (in),qc,Avg Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Avg Max Air Temp (F),qc,Avg Min Air Temp (F),qc,Avg Air Temp (F),qc,Avg Max Rel Hum (%),qc,Avg Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Avg Dew Point (F),qc,Avg Wind Speed (mph),qc,Avg Soil Temp (F),qc
2,FivePoints,San Joaquin Valley,Jan 2018,1.25,K,0.63,L,157,L,9.8,L,60.5,L,40.7,L,49.8,L,94,L,59,L,79,L,43.4,L,4.3,L,53.9,L
2,FivePoints,San Joaquin Valley,Feb 2018,2.97, ,0.04, ,292, ,6.0,K,65.2,K,34.5,K,49.3,K,76, ,28, ,49,K,30.6,K,5.4, ,53.1, 
2,FivePoints,San Joaquin Valley,Mar 2018,3.77, ,2.84, ,378, ,9.2,K,67.2, ,42.2, ,54.5, ,87, ,40, ,63,K,41.5,K,5.8,K,56.4, 
2,FivePoints,San Joaquin Valley,Apr 2018,6.35, ,0.15, ,559, ,8.9, ,76.5, ,47.2, ,62.1, ,76, ,28, ,47, ,41.1, ,6.5,K,62.1, 
2,FivePoints,San Joaquin Valley,May 2018,7.95,K,0.11,K,678,K,10.7,K,82.4, ,52.2, ,68.2,K,72,K,30,K,45, ,45.9, ,6.0,K,67.1,K
2,FivePoints,San Joaquin Valley,Jun 2018,9.13, ,0.16,K,747,K,12.0, ,91.3, ,56.2, ,75.1, ,68, ,25, ,40, ,49.1, ,6.1, ,71.7, 
2,FivePoints,San Joaquin Valley,Jul 2018,9.68, ,0.00, ,695, ,15.2, ,98.7, ,65.5, ,82.9, ,63, ,25, ,40, ,55.5, ,5.8,K,78.0, 
2,FivePoints,San Joaquin Valley,Aug 2018,8.48,K,0.00,K,648,K,13.3,K,94.8, ,61.3,K,78.8,K,68,K,25,K,40,K,52.0,K,5.7,K,78.1,K
2,FivePoints,San Joaquin Valley,Sep 2018,6.47, ,0.04,K,524,K,11.1, ,90.5, ,55.2, ,73.2, ,67, ,24, ,40, ,47.0, ,5.0, ,74.7, 
2,FivePoints,San Joaquin Valley,Oct 2018,4.52, ,0.44,K,401,K,9.9,K,80.1, ,48.3, ,63.5, ,75, ,30, ,49,K,43.5,K,5.0,K,67.1, 
2,FivePoints,San Joaquin Valley,Nov 2018,2.61,K,1.76, ,291,K,8.1,K,69.5, ,39.1,K,53.0, ,80, ,37, ,58,K,37.5,K,3.6,K,58.2, 
2,FivePoints,San Joaquin Valley,Dec 2018,1.37,K,1.09,K,199,K,9.5, ,57.5, ,38.2, ,47.2, ,97, ,65, ,85, ,42.9, ,4.1, ,53.9, 
2,FivePoints,San Joaquin Valley,Jan 2019,1.72,K,1.22, ,229,K,10.0, ,61.2, ,39.3, ,49.6, ,97, ,58, ,80, ,43.7, ,4.9, ,51.9, 
2,FivePoints,San Joaquin Valley,Feb 2019,2.29,K,2.39,K,316,K,8.5, ,58.3, ,37.9,K,47.8,K,93, ,53, ,73,K,39.6,K,6.1,K,51.3, 
